videoid, locationurl ,title,description,digitizationdate,amtMotion,transcriptText,statsText,numberOfFrames,verified?,timestamp,keywords,posterframe,duration,restricted?,creationdate,framerate,sound,color,edited?,segmentation,sponsorname,contribOrgID,languageid,frameDimensionID,digitizOrgID,genrePrimaryID,genreSecondaryID,RightsInformationID,
10211,http://www.ibiblio.org/openvideo/video/infoinlife/DJ-Spooky.mp4,DJ Spooky - That Subliminal Kid -Remix Culture,"DJ Spooky (Paul Miller) talks about the history of media and thoughts about media in culture.  He discusses and demonstrates the unexpected side effects of free speech, law, and copyright while showing the power of remixed art.  The future and meaning of remix culture is discussed.",2/8/2008,Low,,,,No,,DJ Spooky; Remix; copyright; culture; media; internet; art; music;,20457,1:49:22,No,2007-00-00,12,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10212,http://www.ibiblio.org/openvideo/video/infoinlife/INLS881-Jed-Dube.mp4,Representation of High-level Semantic Concepts of Films,An introductory review of the research relevant to the question: Can the high-level semantic descriptions of motion pictures found in existing systems serve the exploratory needs of the film discourse community?,11/13/2007,Low,,,,No,,semantic description;  film discourse; domain analysis; subject access; motion pictures;,20457,0:16:08,No,2007-00-00,30,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10213,http://www.ibiblio.org/openvideo/video/infoinlife/INLS881-Alice-Etim.mp4,The Base of the Pyramid in Information and Communication Technologies,"The Base of the Pyramid (BOP) is a socioeconomic grouping of people who live on less than $2 a day.  Allen Hammond, C.K. Prahalad, Paul Collier, Stuart Hart, and  other social scientists that are studying the BOP group, estimate that there are more than 3 billion BOP people and they are clustered in developing regions of Africa, Asia, Eastern Europe, and South America.  They are the information poor and the world's outsiders. They are seeking for opportunities to become part of the global network systems and economy.  This literature/video provides an overview about the BOP population and looks at how  information and communication technology (ICT) tools (cell phones, PDAs, other hand-held devices, computers, and libraries) can be used to integrate the BOP into the global systems and harness a sustainable BOP development.",11/13/2007,Low,,,,No,,Base of Pyramid; Bottom of the Pyramid; BOP; entrepreneurs;  value-added consumers; socioeconomic grouping; ICT; information poor; insiders; outsiders; developing countries; computers; cell phones; cyber-cafe; economic strategies; sustainable development; Burma; Liberia; natural disaster; Nomads of North Africa; Katrina; C.K.Prahalad; Hart; Allen Hammond; Alice Etim; Maslow's Hierarchy of Needs; The Forgotten Man; President FDR;  Ross School of Business; Sub-Sahara Africa; village kiosks; village phones; MNCs; world's poor;,20457,0:18:21,No,2007-00-00,30,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10214,http://www.ibiblio.org/openvideo/video/infoinlife/INLS881-Weimao-Ke.mp4,Collaborative Filtering,"Weimao Ke discusses research in collaborative filtering,",11/13/2007,Low,,,,No,,Collaborative Filtering; Recommender Systems; Collective;,20457,0:15:10,No,2007-00-00,30,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10215,http://www.ibiblio.org/openvideo/video/infoinlife/INLS881-CassidySugimoto.mp4,Collaboration and Authorship,This presentation is a brief overview to academic authorship and scholarly collaboration.  It presents the rising trend of hyperauthorship/collaboration and the issues of authorship ethics and ownership that arise given these current conditions of multiple authorship.  It ends with a brief overview of these issues as they pertain to the field of library and information science.,11/13/2007,Low,,,,No,,collaboration; authorship; library and information science;,20457,0:13:38,No,2007-00-00,30,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10216,http://www.ibiblio.org/openvideo/video/infoinlife/INLS881-Elizabeth-L-Innovation.mp4,What is innovation?,"In order to remain important to society without being minimized, libraries must innovate. But, what exactly is innovation?  Is any new product innovative?  Can we recognize innovation when we see it? ",11/13/2007,Low,,,,No,,innovation; libraries; new product development;,20457,0:15:45,No,2007-00-00,30,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10217,http://www.ibiblio.org/openvideo/video/infoinlife/INLS881-Rachael-Clemens.mp4,Visual literacy,"Using visuals for intentional communication with others (Visual Literacy) involves the ability to construct and create meaning from visual images.  Several “controversial” elements are described including:  competencies and measurement; lack of common theory; verbal – visual divide; acquired – a priori skill; instrumental, substantive and critical theory. ",11/20/2007,Low,,,,No,,visual literacy; diagrammatic reasoning;,20457,0:13:12,No,2007-00-00,30,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10218,http://www.ibiblio.org/openvideo/video/infoinlife/FutureOfLibrarianship.mp4,SILS Student Panel: Futures of Librarianship,UNC-CH School of Information and Library Science students discuss the future directions of librarianship.,3/20/2007,Low,,,,No,,SILS; UNC-CH; Students; librarianship; libraries; career;,20457,1:01:23,No,2007-00-00,30,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10219,http://www.ibiblio.org/openvideo/video/infoinlife/MarchioniniHCIR.mp4,Human-Computer Information Retrieval Lecture,Gary Marchionini discusses the intersection of information retrieval and human-computer interaction and the challenges of exploratory search.,6/12/2007,Low,,,,No,,Gary Marchionini; information retrieval; human-computer interaction; exploratory search; HCIR;,20457,0:58:06,No,2007-00-00,30,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10220,http://www.ibiblio.org/openvideo/video/infoinlife/MarchioniniSurrogates.mp4,Dr. Gary Marchionini: Towards Multimedia Surrogates,"Dr. Gary Marchionini discusses the problems and possible future solutions with creating effective multimedia surrogates.  Second Life, proflections of self in cyberspace.",3/20/2007,Low,,,,No,,SILS; UNC-CH; multimedia; surrogates; interface design; usability; informatics; surrogation; information architecture; information;,20457,0:58:56,No,2007-00-00,15,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10221,http://www.ibiblio.org/openvideo/video/infoinlife/Cathy_Blake-Info-SynthesisPart1.mp4,Information Synthesis Part 1,Professor Cathy Blake presents principles and techniques for information synthesis and data mining.  The ABC model of synthesis is described and the METIS system serves as a workbench to extract facts that scientists verify while applying the ABC model.  Information summarization techniques that augment information synthesis are also discussed,6/7/2007,Low,,,,No,,information synthesis; data mining; METIS; ABC model; summarization; meta-analysis; systematic review;,20457,0:33:10,No,2007-00-00,20,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10222,http://www.ibiblio.org/openvideo/video/infoinlife/Cathy_Blake-Info-SynthesisPart2.mp4,Information Synthesis Part 2,Professor Cathy Blake presents principles and techniques for information synthesis and data mining.  The ABC model of synthesis is described and the METIS system serves as a workbench to extract facts that scientists verify while applying the ABC model.  Information summarization techniques that augment information synthesis are also discussed,6/7/2007,Low,,,,No,,information synthsis; data mining; METIS; ABC model; summarization; meta-analysis; systematic review;,20457,0:18:41,No,2007-00-00,20,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10223,http://www.ibiblio.org/openvideo/video/infoinlife/YaxiaoSongMultimediaSurrogates.mp4,Multimedia Surrogates,"SILS doctoral student, Yaxiao Song presents a summary of a user study of audio, visual, and combined surrogates for video retrieval.",6/7/2007,Low,,,,No,,video retrieval; audio surrogates; visual surrogates; coordinated media channels;,20457,0:11:49,No,2007-00-00,20,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10224,http://www.ibiblio.org/openvideo/video/infoinlife/Paul_JonesContributorRun.mp4,ibiblio and Contributor Run digital libraries,"Paul Jones, Director of ibiblio and Clinical Professor in SILS and the UNC School of Journalism, presents a lecture on contributor-run digital libraries, using ibiblio as an example.  Open Source and open access lead to innovation and democratization.",5/31/2007,Low,,,,No,,Paul Jones; ibiblio; contributor-run digital libraries; open source; long tail;,20457,0:37:46,No,2007-00-00,20,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10225,http://www.ibiblio.org/openvideo/video/infoinlife/Cal_Lee-DigitalPreservation-31.mp4,Digital Curation,"Dr. Cal Lee, Assistant Professor in SILS, presents a lecture on digital curation, the risks of not planning for preservation, digital archaeology, data exercise, emulation versus transformation, the need for standards and a hybrid approach to preservation.",5/31/2007,Low,,,,No,,digital preservation; curation; archival standards; emulation; transformation;,20457,0:44:41,No,2007-00-00,20,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10226,http://www.ibiblio.org/openvideo/video/infoinlife/Brian_Sturm_Storytelling.mp4,Storytelling Theory and Practice,"Professor Brian Sturm presents storytelling as a way of organizing information, conveying emotions, and building community.  A model of storytelling as altered state of consciousness (the story trance) is presented that inlcudes 16 portals to altered states.  Three stories are told to illustrate the theoretical model: Truth and Story; What happens when you really listen; and The stone cutter.  Storytelling ethics and the need for trust and truth are discussed.",7/5/2007,Low,,,,No,,Brian Sturm; storytelling; immersion; secondary world; story trance; altered state of consciousness; ethics; trust;,20457,0:45:17,No,2007-00-00,20,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10227,http://www.ibiblio.org/openvideo/video/infoinlife/Sanghee_Oh-talk.mp4,Best-Answer Selection Criteria in a Social Q&A Site from a User Oriented Perspective,"Sanghee Oh talks about the use of various question and answer sites such as Yahoo! Answers.  How do users evaluate submitted answers and choose the ""best"" one?  Sanghee Oh discusses the various heuristics employed by users as well as the study design and methodology for finding the answer.",9/28/2007,Low,,,,No,,information seeking; heuristics; user behavior; internet; interfaces; user criteria; study design;,20457,0:56:10,No,2007-00-00,20,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10228,http://www.ibiblio.org/openvideo/video/infoinlife/ask_a_second_year.mp4,SILS Student Panel: Ask  A Second Year Student,"Incoming SILS students ask a panel of 2nd year SILS students questions about their experiences in SILS.  Topics addressed include their professional interests, classes, jobs, exams, and adjusting to life as a graduate student.",3/20/2007,Low,,,,No,,SILS; UNC-CH; blog; blogger; blogging; conference; internet; web 2.0; students; life; orientation; schedule; professors; classes; summer; exams; tests; experience;,20457,0:57:59,No,2007-00-00,20,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10229,http://www.ibiblio.org/openvideo/video/infoinlife/blogger_conference_1.mp4,Triangle Blogger Conference 2005 part 1,The first of an 8 part series of films recorded at a conference of bloggers held in the Triangle.  Part 1 introduces the conference.  Ben MacNeil is the first to speak about building a community around a weblog.  Sid Stafford also speaks about his blog.,3/20/2007,Low,,,,No,,SILS; UNC-CH; blog; blogger; blogging; triangle; conference; internet;  trixieupdate.com; community; aggregation; grassroots; journalism; local; carnival; vanities; blogdeck; rankings; longtail; agenda;,20457,0:23:25,No,2007-00-00,30,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10230,http://www.ibiblio.org/openvideo/video/infoinlife/blogger2.mp4,Triangle Blogger Conference 2005 part  2,"The second of an 8 part series of films recorded at a conference of bloggers held in the Triangle.  Part 2 picks up immediately where part 1 leaves off.  Sid Stafford is discussing the theory of ecology of island biogeography and how it relates to blogging.  Ed Cone is the third designated speaker, and he talks about generating traffic for your blog.  A question and answer session follows, with topics such as insta-pundit, traffic generation, and the ethics of community building.",3/20/2007,Low,,,,No,,SILS; UNC-CH; blog; blogger; blogging; triangle; conference; internet; biogeography; carnival; vanities; visibility; traffic; ethics; community; building; question; answer; insta-pundit;,20457,0:23:25,No,2007-00-00,30,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10231,http://www.ibiblio.org/openvideo/video/infoinlife/BloggerConference3.mp4,Triangle Blogger Conference 2005 part 3,"The third of an 8 part series of films recorded at a conference of bloggers held in the Triangle.  Part 3 picks up immediately where part 2 leaves off.  The question and answer session continues.  The issue of comments on blogs is addressed, as well as trolls.  The question and answer session wraps up, and a session on buidling local communities around aggregators starts immediately.  Rob Smith of Greensboro101.com discusses how he uses RDD feeds from local bloggers.  Bloghunting is another topic covered.",3/20/2007,Low,,,,No,,SILS; UNC-CH; blog; blogger; blogging; triangle; conference; internet; question; answer; antropological; comments; community; building; traceback; trackback; trolls; aggregators; greensboro101; local; rss; bloghunting;,20457,0:23:23,No,2007-00-00,20,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10232,http://www.ibiblio.org/openvideo/video/infoinlife/BloggerConference4.mp4,Triangle Blogger Conference 2005 part 4,"The fourth of an 8 part series of films recorded at a conference of bloggers held in the Triangle.  Part 4 picks up immediately where part 3 leaves off.  The discussion is rejoined, with a blogger commenting on 'About Me' sections.  The topic of conversation then turns to getting institutions into blogging and blogging syndication.",3/20/2007,Low,,,,No,,SILS; UNC-CH; blog; blogger; blogging; triangle; conference; internet; institutions; news; contributors; rss; columnists; aggregation; build; community; syndication;,20457,0:23:26,No,2007-00-00,20,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10233,http://www.ibiblio.org/openvideo/video/infoinlife/BloggerConference5.mp4,Triangle Blogger Conference 2005 part 5,The fifth of an 8 part series of films recorded at a conference of bloggers held in the Triangle.  Part 5 picks up immediately where part 4 leaves off.  The discussion continues discussing MSNBC's use of blogger's to cover natural disasters.  Other bloggers in the news are discussed.  Podcasting is brushed on before an intermission.  The video continues with a brief word from Bob Slag of lulu.com.   Discussion then turns to issues that were brought up on the conference's wiki.,3/20/2007,Low,,,,No,,SILS; UNC-CH; blog; blogger; blogging; triangle; conference; internet; lulu.com; newspaper; comments; permalinks; trolls; policing; landmark;,20457,0:23:26,No,2007-00-00,20,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10234,http://www.ibiblio.org/openvideo/video/infoinlife/BloggerConference6.mp4,Triangle Blogger Conference 2005 part 6,"The sixth of an 8 part series of films recorded at a conference of bloggers held in the Triangle.  Part 6 picks up immediately where part 7 leaves off.  The main talking point in this segment is about big media and how they are adjusting to blogging.  Accuracy, truth, and objectivity are debated, as well as the role blogs should play: media watch dog or news source?",3/20/2007,Low,,,,No,,SILS; UNC-CH; blog; blogger; blogging; triangle; conference; internet; accuracy; truth; objectivity; watchdog; authority; expertise; blogoshpere;,20457,0:23:27,No,2007-00-00,20,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10235,http://www.ibiblio.org/openvideo/video/infoinlife/BloggerConference_7.mp4,Triangle Blogger Conference 2005 part 7,"The seventh of an 8 part series of films recorded at a conference of bloggers held in the Triangle.  Part 7 picks up immediately where part 6 leaves off.  Signal to noise ratio in blogging is the main topic discussed.  Other topics include gaining larger audiences, registration,  and the future of newspapers.",3/20/2007,Low,,,,No,,SILS; UNC-CH; blog; blogger; blogging; triangle; conference; internet; future; newspapers; signal; noise; ratio; bbc; nyt; registration; bloom; transparency; business; model;,20457,0:23:23,No,2007-00-00,20,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10236,http://www.ibiblio.org/openvideo/video/infoinlife/BloggerConference_8.mp4,Triangle Blogger Conference 2005 part 8,The final part of an 8 part series of films recorded at a conference of bloggers held in the Triangle.  Part 8 picks up immediately where part 7 leaves off.  The conference closes with discussion of structural gaps and holes in big media that blogging may or may not fill.,3/20/2007,Low,,,,No,,SILS; UNC-CH; blog; blogger; blogging; triangle; conference; internet; structual; gaps; holes;,20457,0:14:32,No,2007-00-00,20,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10237,http://www.ibiblio.org/openvideo/video/infoinlife/how-I-got-my-first-job.mp4,SILS Student Panel: How I got my first job,Alumni from the UNC-CH School of Library and Information Science discuss the methods they used to secure a job after completing their masters degree.,3/20/2007,Low,,,,No,,SILS; UNC-CH; Students; careers; jobs; job search; networking;,20457,0:55:57,No,2007-00-00,20,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10238,http://www.ibiblio.org/openvideo/video/infoinlife/21stCenturyStudent.mp4,John Oberlin: The 21st Century Student Experience,John Oberlin discusses how emerging technologies and services will affect and change educational methods.,3/20/2007,Low,,,,No,,SILS; UNC-CH; Students; education; technology; instruction;,20457,0:59:07,No,2007-00-00,20,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10239,http://www.ibiblio.org/openvideo/video/infoinlife/Informatics-in-Action.mp4,Gary Marchionini: Informatics in Action,Gary Marchionini discusses informatics in practice.,3/20/2007,Low,,,,No,,SILS; UNC-CH; informatics; information; usability; information architecture;,20457,0:20:15,No,2007-00-00,20,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10240,http://www.ibiblio.org/openvideo/video/infoinlife/ASIST_PANEL.mp4,ASIST PANEL: This conversation is being blogged,A panel of speakers discuss the popularity and value of blogs.  New technologies for continual blogging and archival are discussed.  Social software in general is examined.  The social repercussions of social software and constant documentation are considered.,4/20/2007,Low,,,,No,,blogs; online identity; communications; social software; archival; technology; society;,20457,1:03:43,No,2007-00-00,20,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10241,http://www.ibiblio.org/openvideo/video/infoinlife/brad_hemminger-Cradle.mp4,Brad Hemminger: Cradle Talk,"Brad Hemminger discusses the use of the wiki in education.   He gives examples of different wiki software and service offerings, examples of classroom wikis, and discusses the advantages, disadvantages, and uses of wikis.",5/20/2007,Low,,,,No,,Wiki; social software; classroom technology; education;,20457,0:59:06,No,2007-00-00,20,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10242,http://www.ibiblio.org/openvideo/video/infoinlife/Fred_Stutzman.mp4,Fred Stutzman: Cradle Talk,"Fred Stutzman discusses the social software symposium, ""social software"" and what this software means in society.",5/20/2007,Low,,,,No,,social software; blogs; technology; society;,20457,0:56:33,No,2007-00-00,20,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10243,http://www.ibiblio.org/openvideo/video/infoinlife/AndrewPace-ENDECA.mp4,ENDECA Talk: Implementing a Faceted Search Framework,"Andrew and Emily discuss the ENDECA system at NC State.  The software is used to aid in searching the NC State library.  History of the search problem, legacy issues, and implementation issues are all discussed.  Similar and related systems are also mentioned/discussed",5/20/2007,Low,,,,No,,ENDECA; Search; facets; libraries; library; information retrieval; research; digital library;,20457,1:24:09,No,2007-00-00,20,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10244,http://www.ibiblio.org/openvideo/video/infoinlife/SarahRobins.mp4,Second Life in Education,"Sarah Robbins, doctoral candidate at the University of Indiana, aka Intelligirl, talks about her experiences using Second Life in her classrooms.",5/20/2007,Low,,,,No,,Sarah Robbins; Intelligirl; Second Life; teaching; learning;,20457,1:20:48,No,2007-00-00,20,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10245,http://www.ibiblio.org/openvideo/video/infoinlife/EBLIP4-Rowenna_Cullen.mp4,EBLIP4 Kenote 5-7-07 Rowenna Cullen,Rowenna Cullen talks about the issues involved with the digitalization of government documents and procedures.  Issues range from the availability of government documents and document filing online to methods of evaluating and creating effective e-government systems.,5/20/2007,Low,,,,No,,government documents; e-government; government; library; digitization; public access; online documents;,20457,1:19:20,No,2007-00-00,15,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10247,http://www.ibiblio.org/openvideo/video/infoinlife/SecondLifePresentation.mp4,Second Life at UNC-CH,Kathleen Kyzer and Larry Talor discuss Second Life plans and applications at UNC-Chapel Hill.,5/20/2007,Low,,,,No,,Second Life; UNC; distance learning;,20457,0:58:33,No,2007-00-00,20,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10248,http://www.ibiblio.org/openvideo/video/infoinlife/DanRussell.mp4,Dan Russell: Information in Action,Dan Russell from Google Inc. discusses the importance of good user interfaces for search services and the critical role of user interfaces in health information systems,3/20/2007,Low,,,,No,,user interfaces; search services; health systems;,20457,1:03:04,No,2007-00-00,15,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10249,http://www.ibiblio.org/openvideo/video/infoinlife/do_you_know_facebook.mov,Do You Know Facebook?,"Fred Stutzman discusses Facebook, myspace, and social networks in general.  He covers the concepts of Social surveilance, weak vs. strong ties, and the effect of the ""invisible audience"".  The differences between social networks, and the effects of social networks on society in terms of privacy implications are discussed.",4/16/2007,Low,,,,No,,social software; social networks; social surveilance; facebook; myspace; communications; technology and culture;,20457,0:21:58,No,2007-00-00,30,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10250,http://www.ibiblio.org/openvideo/video/infoinlife/KirillFresenko.mp4,Kirill Fresenko: CRADLE talk,Kirill Fresenko discusses institutional repositories and the UNC Library's digital library initiatives,9/7/2007,Low,,,,No,,digital library; UNC; repositories; institutional repository;,20457,0:57:41,No,2007-00-00,20,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10251,http://www.ibiblio.org/openvideo/video/infoinlife/SooYoungRieh.mp4,Soo Young Rieh: CRADLE talk,"Dr. Rieh, assistant professor at the University of Michigan, discusses her research on information quality and credibility",9/26/2007,Low,,,,No,,information quality;information credibility;,20457,0:59:39,No,2007-00-00,15,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
10252,http://www.ibiblio.org/openvideo/video/infoinlife/BobSutor.mp4,Bob Sutor: IBM Vice President on Open Source and Open Standards,"Bob Sutor discusses the effect of open source and open standards on innovation and markets.  Specific topics include the effects of open source alternatives on software markets, open standards and interoperability, the new social aspect of software and the open source community.",10/10/2007,Low,,,,No,,Bob Sutor; IBM; Open Source; Open Standards; software; web services; social software; software markets; software as a service;,20457,1:35:51,No,2007-00-00,25,Yes,Yes,Undefined,n/a,Google/Youtube,12,1,4,8,3,4,1,
