Collection Name,Acc. #,Cat. #,Title,Si./Sd.,Col./B&W,Notes,Year,Index Terms
"Stillman, Ernest G. Collection",1289.0009,n/a,[Ernest G. Stillman--home movies] Reel 9,si.,b&w,"Herring fishing off the coast of Maine. Begins with scene of a seine net being strung across the mouth of a harbor by fishermen in whaleboats while seagulls circle overhead.  Men drag large nets full of herring into whaleboats and stand in the middle of the boats filled with fish.  Large schools of herring are seen swimming under the surface of the water, trapped in the seine.  Fisherman standing in dory full of herring steers boat to larger fishing ship and the herring are scooped out of the dories and onto the ship, and salt is then shoveled on top of the fish.",[1930s-1940s],Amateur films/ Boats and boating/ Fishing industry/ Herring
"Stillman, Ernest G. Collection",1289.0012,n/a,[Ernest G. Stillman--home movies] Reel 12 excerpt,si.,col.,This excerpt from a reel of home movies contains footage of herring fishing off the Cranberry Islands in Maine and was shot at sea from a moving boat. Includes a large wooden fish weir and fishermen in a dinghy within the weir and features extensive footage of herring in large nets being loaded onto the “King Fisher” fishing boat with pulleys while salt is thrown on top of the fish by the crew. Fisherman standing in middle of large pile of herring helps fill buckets of the salted fish that are hoisted onto dock with pulley system. Ends with shots of different types of packaged Billow Brand sardine cans.,[1930s-1940s],Amateur films/ Canned sardines/ Fishing industry/ Herring
Bangor Historical Society/WABI Collection,0389.0009,0065-09-WABI-63,[Last Mail Train to Bangor],si.,b&w,"The mail train’s last trip to Bangor, Maine. Features scenes of workers in mailroom sorting and filing envelopes, the Maine Central freight train pulling out of the station while the engineers wave, and two U.S. Mail “Highway Post Office” trucks traveling on roads. Brief shot of the interior of one truck.",1963,Postal service/ Railroads
"Allen, John E. Collection",0164.0001,5286-01-NHFC-20,"Maine Centennial, 1920 excerpt",si.,b&w,Excerpt from film shot during the 1920 Maine Centennial Week celebrations in Portland. Footage focuses on celebrations in Deering Oaks Park where members of the Passamaquoddy and Penobscot Indian tribes perform ceremonial dances. Governor Carl E. Milliken is brought to shore in a canoe and presented with a bow and arrow by the chiefs of the tribes and is given a tour of their encampment.,1920,Anniversaries/ Celebrations/ Governors--United States/ Indians of North America
Natural Resources Council of Maine Collection,1157.0002,n/a,Voices from Maine,sd.,col.,"Film investigates environmental and quality of life issues in the state of Maine by interviewing a wide range of Maine citizens. An emphasis is placed on the impact of economics and industry on the state and its environment. Includes interviews with a Gardiner town official and footage of town, a retired shoe factory worker, a business owner who moved his company to Maine from New Jersey, a paper mill worker, a family on dairy farm, a lobsterman, a scientist who discusses farming the sea, a sea moss harvester, and commune members. They share their views on economics, society, industry, pollution, and the effect of these factors on life in the state of Maine.",1972,Community life/ Economic conditions/ Economic development/ Environment/ Interviews/ Working environment
Bangor Historical Society/WABI Collection,0432.0003,1047-03-WABI-65,[Bangor Fair Opens],si.,b&w,"Bangor State Fair held at Bass Park. Features shots of livestock including cows, sheep, and goats. Young children stand beside the animals. A young boy standing beside his steer is presented with trophy by a Fair official, and other young children pose beside their award-winning sheep with prize ribbons. Miss Bangor, wearing a sash and tiara, stands in front of main entrance to the Bangor Auditorium and cuts a ribbon while officials watch. Miss Bangor then rides the Ferris wheel at the Fair. Footage taken from the top of the ride shows the Bass Park fairground below.",1965,Agricultural exhibitions/ Cows/ Ferris wheels/ Goats/ Sheep
"Stewart, Archie Collection",1108.0063,n/a,[Archie Stewart--home movies] Reel 63 excerpt,si.,b&w,"Footage taken from a canoe of two moose swimming across a lake. Moose, with its head just visible above water, swims to shore and scrambles into the woods. Followed by extended footage of another moose swimming across lake with closeup shots of the moose’s head and back. Moose again swims to shore, climbs onto shore and disappears into woods.",1949,Amateur films/ Dogs/ Fishes/ Flowers/ Lakes/ Moose/ Puppies
Media Source Collection,0921.0041,n/a,"[Maine Festival, 1978] Tape 4",sd.,col.,The 1978 Maine Festival at Thomas Point in Brunswick featuring young children from the Passamaquoddy tribe in traditional attire performing ceremonial dances outdoors. Elder tribe member beats a drum and talks and sings into microphone during the dances. A crowd of people sit around the dance floor.,1978,Dancing/ Native Americans/ Rites and ceremonies
"Frye, Edna Collection",0699.0001.02,n/a,"[Launching of the Doris Hamlin, Harrington, Maine 1919]",si.,b&w,"Footage of the four-masted schooner ""Doris Hamlin"" being launched at the Frye-Flynn boatyard in Harrington, Maine. The ship is eased into the water from a ramp at the boatyard. Scenes of the crew on board the ship and a man climbing the rigging and closeups of the boat’s sponsor, Doris Hamlin, along with her husband, who is the boat’s co-owner. The boatyard’s manager and owner, E.M. Frye is also shown in closeup with his son George W. Frye, ""the youngest shipbuilder in the world.""",1919,Ships--Launching/ Shipyards
"Cummings, O.R. Collection",1233.0001-.0002,n/a,[O.R. Cummings--home movies] Reels 1 and 2,si.,b&w and col.,"Streetcars in two reels of amateur footage shot by a member of the Portland Division of the Electric Railroaders’ Association that documents an excursion made by the group in 1938. Features extensive footage of electric trolleys moving on city streets and through rural areas.  Also contains footage taken from within the moving trolley car of the tracks and scenery, as well as the interior of a trolley car. Reel 1 contains b&w footage and  intertitles with maps highlighting specific routes of the trolleys, including: Mechanic Falls to Lewiston, Lewiston to Lake Grove, Lewiston to Sabbattus, and Lewiston to Lisbon Falls. Scenes from each route follow the intertitles. Reel 2 contains both color and b&w footage of trolleys in what appears to be Portland and South Portland.",[1938],Amateur films/ Electric railroads
"Foster, Everett Collection",0002.0001,5012-01-FOST-20,"Cupid, Registered Guide",si.,b&w,"A comedy filmed in Maine starring Edgar Jones and Edna May Sperl. Doctor Allan Lang is on a camping vacation at Lake Telos and lamenting rumors that his love interest, Lana Candage is to be married to dandy Mortimer Totten, at her father’s wishes. Nearby, Registered Guide Bob Stickney falls from a tree, injures his leg, and Lang spends the remainder of his vacation nursing him back to health before heading back to the city. Once there he finds that Lana has been brought to Telos by her father, where they are ‘surprised’ at their camp by the sudden appearance of Totten. Shortly thereafter, Lana feigns illness in order to request Lang’s presence, and he is reunited with Stickney. Together, the three devise a plan to get the consent of Lana’s father for her marriage to Lang. Features many scenes shot outdoors in the wilderness, canoes on lakes, and an interior of a log cabin.",1921,Camping/ Lakes
MPBN Collection,0224.0001,n/a,Porte Ouverte sur l'Emigration ,sd.,col.,"Segment from a series entitled Reflets et Lumiere II, which explores French Americans in Maine. Features a short comedy play in French and English Gregoire Chabot that examines persistence of language and culture among French Americans. Two immigrant couples are stranded in an automobile that they cannot operate, with unintelligible instructions from passers-by in English. Later, their descendants are stuck with a horse-drawn wagon that cannot move. In the wagon they discover boxes containing ""Notre Heritage,"" and must decide which items can be discarded so that the wagon will be light enough to move. Shot on location, has no subtitles.",1981,French Americans/ Manners and customs
"Savage, Mike Collection",1089.0001,n/a,[1987 & 1988 Political Commercials],sd.,col.,"Selections from a collection of political television advertisements. Includes the following: five George Mitchell for Senate ads with one featuring a Mitchell testimony during the 1987 Iran-Contra hearings; one Jack Wyman for Senate ad, the “Republican Alternative” to George Mitchell; three Olympia Snowe for Congress ads featuring highlights from the media of her accomplishments; five Ken Hayes for Congress ads, including some anti-Olympia Snowe attack ads; one ""Vote Yes on 5"" ad in support of an “independence bond” for citizens with disabilities; five ""Vote Yes on 2"" ads in favor of a public safety bond issue and featuring endorsements from Marilynn Robb of Mothers Against Drunk Driving, former Maine Attorney General Jim Erwin, and former Maine Governor Ken Curtis; seven ""Vote Yes on 6"" ads in support of a bond for the University of Maine with commentary by University students and graduates, as well as an endorsement by Edmund S. Muskie and Governor John R. Mckernan, Jr.; two ads related to the International Paper strike in Jay, Maine presenting views from both sides, one featuring UPIU Local 14 President Bill Meserve; one John Baldacci for Maine Senate ad with endorsement by Senator George Mitchell; one Mary-Ellen Maybury for Maine Senate ad; two John Cox for Maine Senate ads featuring a voiceover endorsement by Governor John R. McKernan, Jr.; one Steve Bost for Maine Senate ad; one David Lowell for Maine Senate ad featuring a voiceover endorsement by Senator George Mitchell; one Hugh Morrison for Maine Congress ad; two Jeff Sosnaud for Bangor City Council ads; one Ted O’Meara for Congress anti-Joe Brennan attack ad; two ""Vote No on 1"" ads in opposition to allowing a nuclear waste site in Maine; one nonpolitical Central Maine Power ad from 1986 on energy management programs; and four ""Vote Yes on 1"" ads in favor of keeping the Maine Yankee nuclear power plant in operation.",1986-1988,"Advertising, Political/ Political campaigns/ Politics"
Lincoln Memorial Library Collection,1493.0001.02,n/a,"[The Movie Queen, Lincoln]",si.,b&w,"A ""Movie Queen,"" played a Lincoln, Maine resident, being given a tour of the town and meeting business owners, followed by a mock kidnapping by a band of comical, mustached gangsters. A tour bus arrives in Lincoln and passengers enter Lincoln House hotel. The film ends with the Movie Queen’s rescue by a town hero. The film captures many of the town’s citizens, and all of the stars are local people. Margaret Cram or Margaret Cram Showalter made similar Movie Queen films during the 1930s in Maine and other New England locations, including Bar Harbor, Bath, Lubec, and Middlebury, Vermont.",1936,Bank robberies/ Business enterprises/ Community life/ Kidnapping/ Retail trade
"Smith, Nicholas, Collection",1694.0001,n/a,[Nicholas Smith--home movies] Reel 1 excerpt,si.,col.,"Excerpt from a reel of home movies shot by Nicholas Smith in approximately 1953. While the specific locations of this item are not clear, the majority of the Nicholas Smith Collection is a record of the Meductic-Old Town trail, the historical route from New Brunswick to Old Town, ME.  The trail was established by Native Americans and later served as a trading trail for the French and transportation route for early colonial settlers in the 17th century. The films recreate the journey by canoe of John Gyles, captured by Maliseet Indians in 1688. Majority of footage appears to have been shot on an Indian reservation.",[1953],Amateur films/ Community life/ Native Americans
Bangor Historical Society/WABI Collection,1191.1228.05,n/a,[Bangor Post Office Works On],si.,b&w,"News footage shot by WABI-TV of the Bangor Post Office at work. In spite of postal strikes in many other large cities, the Bangor Post Office keeps moving. Contains footage of postal workers sorting mail/letters in the mailroom and large piles of mail and mail bags.",1970,Postal service
Brown Paper Company Collection,0836.0035,n/a,Twitching,sd.,col.,Excerpt from a film entitled Helpful Hints in Preparing Pulpwood. Twitching refers to the act of leading a horse pulling logs from the log cutting area to a location where the logs are cut to pulp and corded or stacked. This short piece illustrates how to properly and safely work with a horse to avoid tree stumps and other obstacles when hauling logs out of the woods.,[1946-1950],Logging industry/ Forests and forestry
NHF Collection,1463.0002,n/a,Ice Harvesting Sampler,sd.,b&w and col.,"A compilation containing both newsreel and amateur footage illustrating the processes used by the ice harvesting industry. Displays the machinery and labor involved in harvesting ice cakes from lakes and moving them into storage in ice houses, and the horse-drawn wagons that delivered the ice to homes. Original footage is silent with narration provided by Philip C. Whitney, president of the New England Tool Collectors Association. Contains footage from the Everett Johnson Collection of 1943 harvesting by the Sebago Ice Company at Long Pond in Portland, 1927 footage from the Robert C. Taylor collection of ice cutting in East Andover, Massachusetts and a work-horse parade in Boston, a 1940 ice harvest at the Hinckley School for Boys in Hinckley, Maine from the Good Will-Hinckley Collection (in color), 1926 ice cutting at Upper Hadlock Pond in Northeast Harbor, Maine from the Seavey Collection, 1936 newsreel footage of ice cutting on the Kenduskeag Stream in Bangor, Maine from the National Archives Collection, and a 1937 ice harvest in Brookside, Massachusetts from the Archie Stewart Collection.",1926-1943,Amateur films/ Ice industry/ Technology
Vinalhaven Historical Society Collection,0918.0001,n/a,Turn of the Tide,sd.,col.,"Dramatic film about the formation of lobster fisheries cooperative shot in Port Clyde, Maine. The cast consists of local people and stars Birger Magnusen, who founded the first Lobsterman's Cooperative on Vinalhaven Island. The film captures the difficulties catching lobsters and family hardships as a result of the poor pay they receive for their catches. After an accident at sea claims the life of one lobsterman, the others form a cooperative.",1943,Boats and boating/ Coasts/ Fisheries/ Lobster industry
"Dodge, Charles Collection",0917.0001,n/a,[Moving the Spite House],si.,b&w,"Amateur footage taken in 1925 that documents the moving of the Spite House, a Federal style house, from Phippsburg, Maine to Rockport, Maine. The Spite House was built in Phippsburg, Maine on the Kennebec River in 1806 by Captain Thomas McCobb to irritate his stepmother, who had gained control of the family mansion in Phippsburg while he was at sea. In 1925 the Spite House was bought by Mr. and Mrs. Donald D. Dodge and moved to Deadman's Point in Rockport, Maine. Each sequence of the 85 mile move by land and water is captured. Begins with footage of the exterior of the house and its surroundings in Phippsburg, and workers begin digging around the foundation of the house with shovels. The house is then propped up with a system of jacks and stacks of large wooden beams. A rope system involving pulleys is then attached to the house, trees are chopped down, tracks are dug in the ground, and the house is slowly pulled forward by a team of workhorses. The house is pulled to the coast and slowly moved onto a barge with the aid of a fuel-powered motor. The barge is towed at sea by two tugboats and then slid back onto shore again using a pulley system and workhorses. Workers then lower the house onto its new foundation with jacks and the house’s owners visit and survey the new property. Also includes footage of the ""Ferdinando Gorges"" at sea, a steam ferry operated by the Maine Central Railroad and named for the proprietor of Maine.",1925,"Amateur films/ Architecture/ Moving of buildings, bridges, etc./ Steamboats"
NHF Collection,1461.0003,5402-01-WABI-89,Maine's Television Time Machine,sd.,b&w,"Compilation from Maine’s oldest television station, WABI-TV in Bangor. Contains newsfilm footage that aired in the 1950s and early 1960s that captures the feeling of everyday life in northern Maine along with personalities of the day. Includes Richard Nixon campaigning in Maine, President Eisenhower presented with a Penobscot River salmon, high school sports, and television advertisements. Narration is provided by former WABI-TV reporter George Hale.",1989,"Advertisements/ Sports/ Bowling/ Basketball/ Football/ Recreation/ Fishing/ Skiing/ Technology/ Boats and boating/ Automobiles/ Transportation/ Railroads/ Outdoor life/ Cookery/ Civil defense/ Celebrities/ Dancing/ Architecture/ Airplanes/ Military bases/ Household appliances/ Fire fighters/ Governors--United States/ Speeches, addresses, etc./ Hunting/ Economics/ Stores, Retail/ Road construction/ Education/ Roads/ Presidents--United States/ Legislators/ Christmas/ Shipping/ Advertising, Political/ Air defenses/ Beauty contests/ Computers/ Clothing and dress/ Civil rights/ Interviews/ International relations/ Cold War/ Demonstrations/ Vietnamese Conflict 1961-1975"
"Foster, Everett Collection",0025.0001,5156-01-FOST-52,[Walter V. Mitton--home movies] Searsmont Bridge Construction,si.,b&w and col.,"Construction of a bridge over a small river in Searsmont, Maine shot by engineer Walter Mitton. Scenes of workers at construction site and operating large equipment including steam shovels and bulldozers. Workers dig with shovels and use steam shovel to move large piles of dirt and boulders out of the river. Cement mixing and pouring is also seen. The workers are served lunch outside beside a car by women and play with a small black dog. The dog, presumably Mitton’s, appears throughout the reel and is often seen playing with the workers. View of the near-complete bridge. Final stages of work take place during mild snowstorm and workers then apply paint to side of bridge. Shots of a game of horseshoes at the construction site. Reel ends with color footage of cars and trucks passing over the finished bridge and a woman and the black dog inspecting the bridge’s side.",[1952-1953],Amateur films/ Bridges Design and construction/ Construction equipment/ Construction workers/ Dogs
